Customer ID,Loan Sanction Amount (USD)
C-17567,29317.477
C-3203,32792.31
C-27870,53763.156
C-34250,57481.0
C-6052,32792.31
C-33730,73081.414
C-33735,40609.066
C-41784,22543.344
C-36379,52043.773
C-37051,38866.086
C-45284,11477.633
C-22611,20375.629
C-15220,15746.471
C-46916,16238.736
C-16477,21886.484
C-32921,46974.95
C-10743,58800.227
C-25717,10880.783
C-38804,66753.195
C-47665,89029.21
C-47745,26951.55
C-8340,101699.12
C-35857,8425.361
C-13835,55759.062
C-8181,80274.03
C-7606,11477.633
C-28889,66733.12
C-19884,18593.918
C-26792,32792.31
C-29963,57481.0
C-23208,10880.783
C-26232,100327.77
C-38972,12798.3125
C-28626,88776.8
C-3278,18070.133
C-9079,19851.85
C-18569,27997.832
C-43756,27997.832
C-17687,32792.31
C-5824,81997.49
C-6145,19484.598
C-5160,19851.85
C-13520,32708.855
C-2648,18593.918
C-9345,160371.83
C-46369,153589.52
C-34024,24039.059
C-37594,19678.621
C-16600,38782.637
C-12689,81997.49
C-31285,37577.074
C-20977,57481.0
C-8645,65169.383
C-28949,51360.465
C-42339,25085.336
C-18516,73081.414
C-26843,15746.471
C-37352,47061.855
C-9621,25085.336
C-40583,22306.936
C-44959,33079.88
C-10087,67902.055
C-31261,101855.375
C-2632,40609.066
C-35797,75845.11
C-9943,21497.07
C-48614,11477.633
C-38577,24039.059
C-9012,11477.633
C-22068,24039.059
C-34390,8302.361
C-17445,15746.471
C-42960,18070.133
C-29172,20375.629
C-8067,10880.783
C-19101,33259.91
C-16365,40609.066
C-46578,90668.98
C-7726,38866.086
C-11802,51360.465
C-26157,33259.91
C-12804,10880.783
C-13829,22306.936
C-16434,37577.074
C-27426,122076.78
C-40208,97190.016
C-35800,20840.21
C-14093,68029.43
C-11648,107757.87
C-44330,32792.31
C-3517,53763.156
C-21658,51360.465
C-6711,21886.484
C-16178,19815.229
C-19315,32792.31
C-12505,8425.361
C-39404,40609.066
C-23783,37577.074
C-40002,38416.12
C-30526,18959.965
C-8034,33163.33
C-33801,114142.18
C-44646,38866.086
C-32172,18070.133
C-15887,53763.156
C-391,38866.086
C-35271,152488.64
C-45419,17071.84
C-26170,8425.361
C-41141,57481.0
C-19608,18070.133
C-12816,27226.016
C-2852,32708.855
C-23982,37577.074
C-27035,39945.645
C-19243,27009.758
C-33098,20375.629
C-18918,57481.0
C-38094,18593.918
C-39100,51360.465
C-10477,10880.783
C-41693,20375.629
C-25244,57481.0
C-30176,132650.0
C-43024,10880.783
C-17663,27781.574
C-18116,46852.613
C-12113,53763.156
C-47954,32708.855
C-5056,119825.03
C-13678,8136.691
C-11014,19576.184
C-38944,10880.783
C-6241,122076.78
C-3386,19851.85
C-44010,17687.207
C-38450,44107.99
C-5233,37493.625
C-29556,19218.818
C-8420,89688.6
C-15978,21505.354
C-34580,18070.133
C-31624,95490.59
C-26269,18070.133
C-22174,15746.471
C-39257,66625.25
C-461,8425.361
C-19987,18070.133
C-22313,64289.78
C-36169,33346.94
C-27644,21497.07
C-2735,15746.471
C-15015,19851.85
C-37397,25085.336
C-45699,20375.629
C-20783,41889.008
C-17847,13729.996
C-38305,10880.783
C-6907,18070.133
C-7342,90825.234
C-7045,10880.783
C-13221,64289.78
C-34726,26660.574
C-35426,52207.71
C-43748,52043.773
C-2888,19851.85
C-32967,15746.471
C-30265,83328.12
C-13304,86474.51
C-17380,40609.066
C-1417,41163.703
C-21679,33163.33
C-31369,91903.23
C-18618,21421.902
C-15173,27781.574
C-25409,76801.914
C-22695,70640.336
C-7870,90589.91
C-35059,96656.11
C-19262,66753.195
C-10179,46974.95
C-10978,44107.99
C-45858,27410.496
C-8194,18593.918
C-9392,40609.066
C-49795,32792.31
C-23829,18593.918
C-28834,9078.722
C-45277,37493.625
C-11440,12798.3125
C-10158,40609.066
C-46131,37493.625
C-27846,29317.477
C-12099,25085.336
C-7556,18960.816
C-36717,57373.137
C-6230,26735.297
C-26450,76801.914
C-42638,37577.074
C-40852,63125.797
C-48264,21421.902
C-25725,37577.074
C-1251,16329.495
C-38116,47061.855
C-33330,40428.9
C-28034,25085.336
C-15275,38866.086
C-18947,66753.195
C-45711,15746.471
C-39206,74548.33
C-2536,33346.94
C-45427,114142.18
C-34637,38866.086
C-8357,10880.783
C-15199,88150.76
C-42345,41710.117
C-15973,52207.71
C-778,11477.633
C-18961,11477.633
C-31944,57481.0
C-49215,17071.84
C-15736,17595.621
C-39719,32792.31
C-21669,68029.43
C-12666,90250.266
C-108,40609.066
C-28294,33163.33
C-931,44107.99
C-46269,44787.203
C-21864,44107.99
C-40951,10880.783
C-17344,37577.074
C-30471,11196.136
C-6151,20375.629
C-49031,32792.31
C-21146,40609.066
C-9283,10880.783
C-38375,10540.957
C-37722,68470.64
C-39145,80274.03
C-7771,96656.11
C-14611,47311.98
C-3433,53763.156
C-47000,153589.52
C-38783,81997.49
C-25384,37577.074
C-27444,69592.88
C-20567,46852.613
C-19163,159470.23
C-7784,21497.07
C-42195,89519.0
C-15641,46852.613
C-45148,52207.71
C-49786,69038.516
C-43483,124035.28
C-31900,24039.059
C-7955,15746.471
C-49917,100689.86
C-20928,105087.13
C-32586,96499.85
C-8832,16270.253
C-37974,32792.31
C-11184,84685.15
C-27932,12798.3125
C-22581,65737.26
C-17470,57481.0
C-35562,15360.781
C-21391,22306.936
C-2036,53763.156
C-487,18070.133
C-49534,66753.195
C-27793,87724.88
C-47718,17687.207
C-28840,29317.477
C-36903,148357.4
C-12478,10994.515
C-5497,57481.0
C-19291,19851.85
C-37414,117129.445
C-27189,37493.625
C-23974,47061.855
C-37756,38866.086
C-6994,15805.713
C-26676,10880.783
C-18336,16762.516
C-39249,40609.066
C-46594,57481.0
C-46668,29317.477
C-31182,17595.621
C-33649,16270.253
C-795,20840.21
C-41864,10880.783
C-27099,159647.27
C-13217,10880.783
C-27941,27997.832
C-26999,41710.117
C-19798,44107.99
C-872,10880.783
C-42696,66753.195
C-4207,38131.71
C-5977,27997.832
C-37417,73797.875
C-27520,87965.57
C-28968,28545.66
C-7218,87724.88
C-9926,96656.11
C-6283,10994.515
C-28564,153589.52
C-7458,32708.855
C-23936,59766.33
C-15056,37577.074
C-48332,70640.336
C-5285,53763.156
C-22261,10880.783
C-6649,47453.043
C-39775,70640.336
C-16672,10880.783
C-22949,31995.115
C-33264,89971.0
C-18411,18593.918
C-2981,18959.965
C-25486,22306.936
C-20743,37577.074
C-43852,89659.72
C-33935,96656.11
C-12280,153589.52
C-7324,38866.086
C-10229,33312.582
C-29096,63451.945
C-7146,38866.086
C-48092,12798.3125
C-7802,8302.361
C-41995,44107.99
C-24558,11477.633
C-41069,47539.95
C-49771,10880.783
C-14429,19678.621
C-36459,29400.928
C-595,8302.361
C-37861,18685.504
C-5702,20375.629
C-48665,19851.85
C-44788,20202.4
C-41968,63451.945
C-28021,21421.902
C-49046,117455.41
C-48198,47061.855
C-2224,32792.31
C-29812,32708.855
C-28119,17071.84
C-33458,18960.816
C-31298,29190.844
C-42213,52207.71
C-45134,11477.633
C-18790,38782.637
C-8651,27997.832
C-34551,67206.83
C-46838,157258.56
C-45834,90250.266
C-23656,38866.086
C-35479,47061.855
C-9171,100327.77
C-32795,114142.18
C-39761,17071.84
C-6842,15746.471
C-1477,111764.15
C-29391,8302.361
C-36372,40428.9
C-3050,9078.722
C-24135,10994.515
C-17657,101044.18
C-22379,69038.516
C-48251,46852.613
C-47996,20375.629
C-46600,38131.71
C-24183,32708.855
C-39134,153589.52
C-3569,57481.0
C-44734,15746.471
C-26917,32708.855
C-43369,155556.06
C-16973,57481.0
C-10007,38782.637
C-45821,27997.832
C-22286,26289.496
C-26486,37577.074
C-4785,74548.33
C-41874,38866.086
C-40217,165561.3
C-21423,53763.156
C-42449,26951.55
C-34243,73081.414
C-3917,117078.95
C-33066,66007.195
C-2723,10880.783
C-8412,70369.14
C-9722,12798.3125
C-38320,32708.855
C-29676,15746.471
C-27298,37577.074
C-31654,17687.207
C-13695,15360.781
C-25086,10994.515
C-44465,10880.783
C-21654,53437.008
C-41060,82961.68
C-49595,70470.51
C-6280,79784.24
C-14434,15360.781
C-35331,29317.477
C-22482,38782.637
C-39569,37577.074
C-7791,87724.88
C-41802,160489.27
C-39667,19851.85
C-12376,41710.117
C-40906,66753.195
C-38890,15746.471
C-37476,52207.71
C-44946,81997.49
C-44451,15515.24
C-37113,131411.67
C-29497,18070.133
C-19756,17071.84
C-10272,18070.133
C-32834,95801.875
C-23725,46852.613
C-10753,37493.625
C-17104,32708.855
C-19153,38866.086
C-17340,15746.471
C-43187,155556.06
C-49532,32708.855
C-9014,29317.477
C-19519,47311.98
C-46047,47061.855
C-32269,15515.24
C-808,15515.24
C-25924,27997.832
C-39832,38866.086
C-9670,52685.805
C-44243,31995.115
C-32273,8136.691
C-38474,80274.03
C-3098,107603.195
C-1113,101699.12
C-48460,38866.086
C-14158,15746.471
C-16411,120385.85
C-26187,94607.67
C-47185,38782.637
C-5417,47061.855
C-43392,8302.361
C-13685,153589.52
C-18903,26660.574
C-44156,8425.361
C-28524,10994.515
C-5184,37493.625
C-45033,37493.625
C-45354,87724.88
C-41123,25085.336
C-14213,20005.557
C-6888,32792.31
C-14104,10880.783
C-2495,20375.629
C-17057,103011.66
C-5005,38866.086
C-41297,41163.703
C-42963,8302.361
C-23251,18070.133
C-23970,15515.24
C-40714,117688.24
C-38859,70640.336
C-7112,57481.0
C-18928,32708.855
C-29862,73081.414
C-30212,33163.33
C-15021,66753.195
C-7476,37577.074
C-41600,20375.629
C-32173,32708.855
C-38518,27997.832
C-38801,47061.855
C-1784,81429.62
C-24927,104590.234
C-39547,63451.945
C-43215,37577.074
C-23422,17071.84
C-37723,38866.086
C-29178,84685.15
C-19008,88608.74
C-5849,66753.195
C-6004,66427.04
C-23104,18593.918
C-24882,53763.156
C-43468,8302.361
C-35132,69038.516
C-42580,130917.17
C-11578,20650.09
C-8678,12798.3125
C-19927,90536.11
C-30508,22306.936
C-44874,29400.928
C-30186,63451.945
C-10760,10880.783
C-26481,51935.91
C-46111,29373.604
C-32145,96499.85
C-32092,38782.637
C-5752,84685.15
C-16382,70470.51
C-28591,90643.805
C-44846,41889.008
C-2932,37577.074
C-36463,107603.195
C-27695,27997.832
C-40748,57481.0
C-29783,100080.98
C-49739,10880.783
C-14812,55759.062
C-17082,27781.574
C-7455,70640.336
C-19358,18593.918
C-19549,29317.477
C-2666,33163.33
C-18984,53763.156
C-13649,18070.133
C-33798,10880.783
C-10307,73081.414
C-35501,38866.086
C-8935,53763.156
C-26153,15515.24
C-4606,57481.0
C-18360,40609.066
C-39333,25614.297
C-12426,89474.93
C-6408,66427.04
C-28868,11477.633
C-42593,57481.0
C-31808,73081.414
C-32004,32708.855
C-32204,37577.074
C-12801,86001.414
C-25815,57481.0
C-22768,47539.95
C-32048,47061.855
C-19658,16270.253
C-26891,8136.691
C-40188,15746.471
C-25433,20375.629
C-10378,66753.195
C-31318,132650.0
C-15344,32708.855
C-22888,24039.059
C-43034,15515.24
C-19211,47061.855
C-10432,69592.88
C-22014,10880.783
C-18211,87071.62
C-23968,32078.566
C-48530,47061.855
C-28054,20375.629
C-2058,17071.84
C-34942,81429.62
C-530,41710.117
C-38117,10880.783
C-20913,19851.85
C-47070,84685.15
C-26019,29400.928
C-28532,37577.074
C-46716,47453.043
C-39327,38782.637
C-7240,25085.336
C-37949,153589.52
C-2195,129907.914
C-3355,57481.0
C-19733,44107.99
C-34255,53763.156
C-49287,17071.84
C-32256,76801.914
C-22180,38866.086
C-5193,32708.855
C-38427,123059.69
C-44886,125529.05
C-3791,32708.855
C-32566,46974.95
C-15243,46852.613
C-5240,38866.086
C-49218,38866.086
C-25534,11954.239
C-47239,15746.471
C-8774,38866.086
C-16520,116739.0
C-20311,72642.3
C-3650,17595.621
C-18558,19678.621
C-14820,100327.77
C-34556,99318.516
C-43883,101855.375
C-40653,23353.209
C-47621,32708.855
C-49147,38866.086
C-440,119824.6
C-11354,17595.621
C-15107,52457.836
C-24501,38866.086
C-28551,18070.133
C-28773,23353.209
C-36617,118970.95
C-28244,11477.633
C-41307,99629.8
C-832,40609.066
C-8287,23353.209
C-41225,74548.33
C-13965,38866.086
C-6491,46852.613
C-10751,37577.074
C-27955,19851.85
C-29401,20005.557
C-40588,20375.629
C-41993,32708.855
C-37136,99390.02
C-41702,38782.637
C-37634,37577.074
C-7102,8136.691
C-32351,16854.102
C-17461,52457.836
C-2675,15746.471
C-34452,88940.43
C-35202,33346.94
C-35085,115729.74
C-25301,37577.074
C-18247,16270.253
C-26468,27997.832
C-39744,81997.49
C-39530,16762.516
C-15276,32708.855
C-27599,72996.34
C-16294,98822.336
C-45920,59766.33
C-42972,57481.0
C-35739,21421.902
C-48070,18685.504
C-20738,57481.0
C-20164,37577.074
C-35798,81997.49
C-36931,32708.855
C-40067,63451.945
C-7033,9078.722
C-2919,52207.71
C-92,32708.855
C-10068,81997.49
C-30148,123241.76
C-6804,12798.3125
C-41739,101450.734
C-26448,10880.783
C-5100,40294.004
C-6401,119824.6
C-14665,33079.88
C-3315,18070.133
C-20983,44107.99
C-32947,56237.156
C-13518,37493.625
C-46708,38131.71
C-6592,119824.6
C-12364,15746.471
C-46390,105806.52
C-7318,21497.07
C-12943,20375.629
C-2883,32792.31
C-25283,19851.85
C-1618,10823.81
C-1271,8425.361
C-40127,47539.95
C-36317,18959.965
C-48952,44107.99
C-29240,69592.88
C-25093,18593.918
C-12384,44107.99
C-34319,27871.2
C-47779,47061.855
C-12945,47061.855
C-36060,32708.855
C-5616,8136.691
C-41883,44107.99
C-9039,55238.848
C-25362,66753.195
C-13744,57481.0
C-25047,118970.95
C-13036,80274.03
C-36276,17071.84
C-2811,18593.918
C-21717,103158.51
C-46988,38782.637
C-48564,38153.4
C-24260,37577.074
C-39925,10880.783
C-16917,106789.64
C-27996,10880.783
C-37659,31995.115
C-15746,110771.234
C-46465,44107.99
C-40197,38866.086
C-39307,91791.94
C-23902,37139.785
C-19873,11477.633
C-47956,47061.855
C-13273,20840.21
C-48337,80274.03
C-19271,26951.55
C-37094,59766.33
C-684,47539.95
C-24481,27871.2
C-12590,74548.33
C-25151,44107.99
C-17381,66860.62
C-38274,29400.928
C-1011,57481.0
C-1000,85893.55
C-20171,16762.516
C-17936,101001.14
C-44657,29317.477
C-41222,57481.0
C-42705,37577.074
C-36949,97216.26
C-17725,32708.855
C-41035,38866.086
C-2207,71959.55
C-11404,34900.605
C-1537,8136.691
C-49111,90668.98
C-39701,47061.855
C-14555,14543.402
C-23018,27997.832
C-26076,47061.855
C-1292,57481.0
C-33809,18593.918
C-34753,10880.783
C-30028,59766.33
C-33662,33441.293
C-11938,41710.117
C-15030,90536.11
C-25693,118697.5
C-39706,32078.566
C-49830,32078.566
C-1215,32708.855
C-22515,11477.633
C-34267,52207.71
C-31199,20375.629
C-46236,10280.218
C-16259,21421.902
C-2730,38866.086
C-17938,80274.03
C-41242,37493.625
C-378,44107.99
C-15648,52207.71
C-48043,84685.15
C-3027,96656.11
C-43249,20375.629
C-26632,18070.133
C-16859,47061.855
C-23573,87724.88
C-21886,15805.713
C-31479,41376.49
C-37999,87071.62
C-45817,66427.04
C-19011,20840.21
C-36365,21421.902
C-7416,32792.31
C-677,15746.471
C-10599,15746.471
C-1103,17071.84
C-44906,69038.516
C-16804,32792.31
C-38012,25614.297
C-13987,159503.55
C-19544,81997.49
C-3349,40609.066
C-38961,37777.1
C-38259,17071.84
C-3666,18070.133
C-36638,57481.0
C-18230,153589.52
C-11076,32792.31
C-31226,37577.074
C-9312,26660.574
C-10276,81997.49
C-44905,20375.629
C-33369,90746.164
C-34166,32792.31
C-45310,70532.47
C-30527,96253.055
C-4627,12798.3125
C-38353,130917.17
C-4974,95860.69
C-32095,10880.783
C-13549,10880.783
C-43862,55238.848
C-6688,87724.88
C-5382,32078.566
C-36550,53763.156
C-721,38866.086
C-1325,106975.26
C-21418,116739.0
C-33431,17595.621
C-25465,20375.629
C-6769,27781.574
C-35667,46852.613
C-22630,17595.621
C-1353,39420.723
C-15765,27410.496
C-47348,27997.832
C-26798,47061.855
C-1575,96499.85
C-26100,25085.336
C-41279,20375.629
C-43388,69348.66
C-11917,96499.85
C-6243,32792.31
C-1218,38866.086
C-20692,38866.086
C-37907,32708.855
C-20591,100327.77
C-34997,18070.133
C-28405,28271.195
C-45810,10880.783
C-10134,32792.31
C-9407,19678.621
C-19191,38866.086
C-15367,15746.471
C-44513,53763.156
C-34160,17595.621
C-1599,32792.31
C-31067,37577.074
C-25519,37577.074
C-19761,24039.059
C-1661,85067.2
C-2525,32792.31
C-25450,16329.495
C-34833,20375.629
C-8560,27997.832
C-20590,18685.504
C-9890,70635.05
C-3415,8302.361
C-7271,23353.209
C-948,15805.713
C-2910,68749.92
C-16054,48007.68
C-21243,16762.516
C-22407,101855.375
C-46383,59766.33
C-48914,15746.471
C-16529,15746.471
C-24655,20375.629
C-1926,74992.17
C-32783,47061.855
C-30296,20375.629
C-23621,66860.62
C-35554,112703.65
C-46261,32792.31
C-34107,25085.336
C-42655,22306.936
C-39873,38782.637
C-17191,8136.691
C-23048,49866.812
C-33498,23353.209
C-906,25085.336
C-7234,18959.965
C-18364,24313.52
C-4434,53763.156
C-23245,96499.85
C-17033,118697.5
C-2814,69038.516
C-39554,40609.066
C-24123,32792.31
C-7293,29317.477
C-41615,10880.783
C-4869,29317.477
C-2885,37577.074
C-18098,81997.49
C-8981,91776.375
C-15668,25085.336
C-2158,74548.33
C-47085,11477.633
C-29563,11477.633
C-6396,10880.783
C-27245,27781.574
C-9571,9078.722
C-13085,39136.65
C-32744,12798.3125
C-49207,10880.783
C-2573,118697.5
C-42732,33163.33
C-32858,41710.117
C-14529,12798.3125
C-7709,37577.074
C-24245,153589.52
C-28155,66575.086
C-9237,53763.156
C-20896,37493.625
C-29529,32708.855
C-49272,8425.361
C-3094,85639.57
C-4211,19851.85
C-40530,44787.203
C-26341,57481.0
C-42206,57154.85
C-31908,57481.0
C-40632,69038.516
C-14432,47061.855
C-1169,10880.783
C-29803,47061.855
C-8662,160489.27
C-11102,32792.31
C-30954,20375.629
C-48216,160489.27
C-34932,19576.184
C-16705,52043.773
C-20735,20375.629
C-10662,15360.781
C-6235,101699.12
C-20782,39136.65
C-44827,122660.21
C-33580,81957.29
C-4046,25085.336
C-15992,63451.945
C-12605,80274.03
C-23469,20202.4
C-16923,18685.504
C-41969,25085.336
C-5294,37493.625
C-27875,37577.074
C-1197,47061.855
C-49768,20375.629
C-2251,53437.008
C-33006,16238.736
C-26789,20375.629
C-30239,37577.074
C-26818,122076.78
C-1901,10880.783
C-23518,25085.336
C-7565,90825.234
C-27349,12798.3125
C-11188,96656.11
C-8581,100327.77
C-25313,75078.445
C-14905,19678.621
C-34147,37577.074
C-19991,38782.637
C-44,44107.99
C-37087,87724.88
C-22924,21886.484
C-33444,32708.855
C-3520,100327.77
C-34874,17071.84
C-24759,100327.77
C-5163,25085.336
C-24438,20375.629
C-39224,29317.477
C-2862,44107.99
C-9322,71401.7
C-14479,8302.361
C-22571,10880.783
C-33363,10994.515
C-42425,26148.227
C-12100,29400.928
C-48101,38866.086
C-4800,57481.0
C-37439,80274.03
C-18640,21886.484
C-37478,32708.855
C-45410,37493.625
C-23721,37577.074
C-20805,81997.49
C-4203,53763.156
C-31016,22543.344
C-35333,8136.691
C-27054,18685.504
C-33869,11477.633
C-5611,96499.85
C-28015,38866.086
C-7157,100484.03
C-47876,11477.633
C-45609,53655.293
C-46711,59198.438
C-37894,37577.074
C-18639,58800.227
C-39707,47330.707
C-36104,132650.0
C-13946,81997.49
C-11258,153589.52
C-43994,25085.336
C-43714,44763.875
C-47433,10880.783
C-35828,21886.484
C-24589,19851.85
C-38955,10880.783
C-14097,27997.832
C-41681,66427.04
C-30975,32792.31
C-42577,10994.515
C-36919,11477.633
C-24623,10880.783
C-1994,10994.515
C-47518,153589.52
C-48910,100327.77
C-27267,19851.85
C-48509,77603.16
C-33108,96253.055
C-36352,32792.31
C-42408,16238.736
C-44763,38866.086
C-44429,38866.086
C-14203,40609.066
C-26258,29317.477
C-7597,32792.31
C-29895,38866.086
C-1519,44107.99
C-37590,84685.15
C-18931,137583.19
C-10989,53763.156
C-5345,40609.066
C-28087,18070.133
C-3593,33346.94
C-21482,47061.855
C-36998,20375.629
C-29828,20650.09
C-8924,88035.98
C-18318,40609.066
C-28919,21421.902
C-6300,148357.4
C-19045,27997.832
C-47244,18070.133
C-3813,29317.477
C-9410,44107.99
C-18688,18685.504
C-28819,12798.3125
C-37548,37577.074
C-17576,32708.855
C-41448,52457.836
C-44453,8136.691
C-47121,44107.99
C-18644,86015.77
C-31096,32708.855
C-4325,25289.09
C-11150,15360.781
C-47399,38782.637
C-11854,97190.016
C-9960,19851.85
C-6389,47102.74
C-36965,21421.902
C-17652,15746.471
C-49875,10880.783
C-9387,66753.195
C-36141,16238.736
C-31672,32708.855
C-31174,74548.33
C-39123,46852.613
C-36981,40609.066
C-38636,52043.773
C-19146,8136.691
C-1646,17260.328
C-12204,70369.14
C-3963,12798.3125
C-48599,81429.62
C-40535,105806.52
C-49003,27997.832
C-25917,17071.84
C-27572,155556.06
C-8879,67703.27
C-12492,90825.234
C-33357,104590.234
C-6624,53763.156
C-15322,32708.855
C-36286,12798.3125
C-44449,16270.253
C-45203,20375.629
C-27721,101699.12
C-12668,37577.074
C-38966,68470.64
C-1827,68749.92
C-5576,24039.059
C-21883,18070.133
C-18490,18070.133
C-2551,11477.633
C-29081,32708.855
C-27653,37577.074
C-23738,28545.66
C-33181,81429.62
C-17872,89681.875
C-36224,29317.477
C-9959,12798.3125
C-15142,16854.102
C-23480,101186.695
C-28252,64289.78
C-47180,10880.783
C-3908,69592.88
C-20072,53763.156
C-3490,16238.736
C-45924,159647.27
C-18345,66753.195
C-21890,153589.52
C-13936,32708.855
C-30976,11477.633
C-38402,38866.086
C-4704,100004.3
C-24827,26735.297
C-311,46852.613
C-12006,122076.78
C-21646,29317.477
C-17666,63451.945
C-8625,10994.515
C-45906,40609.066
C-14530,66753.195
C-15904,52207.71
C-24650,44107.99
C-33618,107603.195
C-14982,32708.855
C-18535,20562.863
C-47517,11477.633
C-41714,16421.078
C-44540,32792.31
C-38287,38866.086
C-43591,59766.33
C-3750,53763.156
C-10123,57481.0
C-29823,44107.99
C-706,87724.88
C-43771,23353.209
C-30935,21421.902
C-9409,19851.85
C-32052,44107.99
C-21291,44107.99
